"from","to","l","h","time","timeU","timeUCB","border","index"
8211,2333,4.29438150875164,"motorway",2.57662890525098,80.4470151867566,80.4470151867566,0,40.5187288904146
8211,1000559,1.7716115657177,"motorway",1.06296693943062,15.1482626606981,15.1482626606981,0,34.5958384149356
8211,1000567,5.41426659413944,"motorway",3.24855995648367,17.3338556777511,17.3338556777511,0,29.7579050479379
8211,5425,0.798800334010796,"primary",1.19820050101619,21.5553026251915,21.5553026251915,0,32.3254256618212
8211,1054396,50.646909368122,"primary",75.970364052183,90.0556597734504,90.0556597734504,0,21.1238292647769
8211,8208,8.24358510927899,"primary",12.3653776639185,36.1919372776294,36.1919372776294,0,22.5931521886156
8211,1055432,25.0893143308575,"trunk",25.0893143308575,39.1746100521249,39.1746100521249,0,21.1843518195708
3467,1001315,31.503413536245,"motorway",18.902048121747,32.7247749792733,32.7247749792733,0,4.19786849808611
3467,4936,27.9345002319164,"trunk",27.9345002319164,49.5057036422167,49.5057036422167,0,4.06812114992189
3467,1296977,16.0352162455621,"trunk",16.0352162455621,29.8579431030883,29.8579431030883,0,3.03064132121028
2333,1000607,5.02526269249143,"motorway",3.01515761549486,66.800248175733,66.800248175733,0,41.6015531136311
2333,1001157,35.0582830069546,"primary",52.5874245104319,116.37251507067,116.37251507067,0,39.2727659976468
2333,1011439,4.43550770017237,"trunk",4.43550770017237,68.2205982604105,68.2205982604105,0,39.0318034525759
2333,1027090,0.238103503723789,"motorway_link",0.142862102234274,63.9279526624724,63.9279526624724,0,41.2853908899998
2333,1068481,6.31144620331469,"primary",9.46716930497203,73.2522598652101,73.2522598652101,0,38.8923601085196
2333,1116973,7.55639828430163,"primary",11.3345974264524,75.1196879866906,75.1196879866906,0,39.9534248384851
2333,3833,2.99980032528563,"primary",4.49970048792844,74.1639444263703,74.1639444263703,0,39.9089345431651
7356,6261,1.55820888801664,"primary",2.33731333202496,44.3672133079577,44.3672133079577,0,31.7668905528629
7356,1000307,0.247991986331924,"motorway",0.148795191799154,29.7424131223973,29.7424131223973,0,29.7103098174052
7356,1000311,8.98147638680511,"motorway",5.38888583208307,34.9825037626812,34.9825037626812,0,30.3633675785759
7356,1000863,5.33305871635163,"motorway",3.19983522981098,32.7934531604092,32.7934531604092,0,30.2583010110985
7356,1041480,0.822783148398397,"motorway_link",0.493669889039038,30.0872878196372,30.0872878196372,0,29.8723835696477
7356,1134459,4.19950593118281,"primary",6.29925889677421,35.8928768273724,35.8928768273724,0,30.6533939705119
6261,5163,9.77550082571729,"primary",14.6632512385759,34.5507076879894,34.5507076879894,0,27.1776352255969
7254,1000789,0.673814637935715,"primary",1.01072195690357,16.1779380641674,16.1779380641674,0,9.43165038740397
7254,1067779,4.80062271197747,"primary",7.2009340679662,22.3681501752301,22.3681501752301,0,8.23398832001815
2938,5889,16.40050818566,"motorway",9.84030491139602,37.9959998153873,37.9959998153873,0,5.16204018382342
2938,1032852,0.614687180451677,"motorway_link",0.368812308271006,15.6724429595613,15.6724429595613,0,4.46131605039084
2938,1055190,6.70748286039561,"primary",10.0612242905934,25.3648549418837,25.3648549418837,0,4.30345187046424
2938,1055917,45.7273097527537,"trunk",45.7273097527537,61.030940404044,61.030940404044,0,4.58717017292994
2938,1083983,0.17396495382709,"primary",0.260947430740635,15.5645780820309,15.5645780820309,0,4.20329715455837
2938,1305251,40.5378912559752,"motorway",24.3227347535851,39.6263654048754,39.6263654048754,0,5.11242356579627
5889,1004278,3.59628211291671,"motorway",2.15776926775003,15.0098335204511,15.0098335204511,0,3.91396200070252
8760,1367259,6.039316563272,"added",24.157266253088,36.6541992101512,36.6541992101512,0,4.51054771458403
2915,3099,0.676879775515264,"motorway",0.406127865309158,71.4838802931126,71.4838802931126,0,62.2282808654629
2915,1001979,1.36780168264204,"motorway",0.820681009585222,59.4052352879955,59.4052352879955,0,59.9650908347509
2915,1003575,1.83914368559683,"motorway",1.1034862113581,59.6880404897684,59.6880404897684,0,59.0977064314705
2915,1003757,5.04827906016501,"motorway",3.028967436099,61.6135217145093,61.6135217145093,0,58.6756130220363
2915,1003805,6.15988945022517,"motorway",3.6959336701351,62.2804879485454,62.2804879485454,0,60.1177184640705
2915,1032165,5.53681104274651,"primary",8.30521656411977,66.88977084253,66.88977084253,0,58.5293430825861
2915,1032596,0.201373031919837,"motorway_link",0.120823819151902,58.7053780975622,58.7053780975622,0,59.7362018937031
2915,1070892,2.02560222884929,"primary",3.03840334327393,61.6229576216842,61.6229576216842,0,59.4648891111296
2915,1257419,1.56811167953194,"primary",2.35216751929791,60.9367217977082,60.9367217977082,0,59.8524742127756
3099,1001979,0.0405748888213363,"motorway",0.0243449332928018,12.5175430826859,12.5175430826859,0,45.3140119362836
3099,1003805,4.37605374927307,"motorway",2.62563224956384,15.118830398957,15.118830398957,0,39.0885346310792
3099,1032596,0.154627433970332,"motorway_link",0.092776460382199,12.5859746097753,12.5859746097753,0,45.4600094410739
7327,1004232,10.3328591695207,"motorway",6.19971550171242,32.2967140519927,32.2967140519927,0,36.2556107363385
7327,1004870,0.45997065664988,"motorway",0.275982393989928,26.3729809442702,26.3729809442702,0,39.6411526099687
7327,1004873,0.352736443157102,"primary",0.529104664735653,26.626103215016,26.626103215016,0,41.0780301785069
5753,1074168,14.6801080839192,"primary",22.0201621258788,40.4864076084403,1000.48640760844,1,7.0493943436991
5753,1084853,0.72134970909271,"primary",1.08202456363906,19.5482700462005,19.5482700462005,0,7.16980850301381
5753,1085423,1.45349011513861,"primary",2.18023517270791,20.6464806552694,20.6464806552694,0,7.13146787287889
